section,name,avg_abs_error
joint,pelvis,3.74837519657838e-15
joint,L5,5.86093013794563e-15
joint,L3,3.41686528111109e-15
joint,T12,2.88584834396108e-15
joint,T8,2.87449079310293e-15
joint,neck,2.97638096936916e-15
joint,head,2.34067464058467e-15
joint,shoulderRight,2.13986907835088e-15
joint,upperArmRight,2.0584283091193e-15
joint,forearmRight,3.24527495178375e-15
joint,handRight,3.65734484786897e-15
joint,shoulderLeft,3.91662206129627e-15
joint,upperArmLeft,1.95305226735857e-15
joint,forearmLeft,3.81601473654569e-15
joint,handLeft,2.83660846920545e-15
joint,upperLegRight,3.87830896520565e-15
joint,lowerLegRight,3.63699512958944e-15
joint,footRight,3.47530246120418e-15
joint,toeRight,2.77566503462525e-15
joint,upperLegLeft,4.75994699454844e-15
joint,lowerLegLeft,1.87481546249808e-15
joint,footLeft,2.89258084542749e-15
joint,toeLeft,4.17908424831544e-15
component,px,7.76963034972457e-16
component,vx,3.50283321370398e-15
component,ax,4.20051946831794e-15
component,jx,2.13341301452549e-15
component,py,1.4210854715202e-15
component,vy,8.33187270686481e-15
component,ay,1.07098795058319e-14
component,jy,6.01001935362499e-15
component,pz,1.41962226997959e-16
component,vz,7.59122617857077e-16
component,az,8.3359674294874e-16
component,jz,4.13243543145305e-16

summary,max_err,5.57887069874141e-14
summary,min_err,0
summary,violations,0
summary,frames,100
summary,result,PASS
