section,name,avg_abs_error
joint,pelvis,6.72716390152523e-18
joint,L5,8.91091366005733e-17
joint,L3,1.35682255000246e-16
joint,T12,8.8837944885294e-17
joint,T8,1.53034981356955e-16
joint,neck,1.92238828412221e-16
joint,head,5.75034856609262e-17
joint,shoulderRight,1.29220353583369e-16
joint,upperArmRight,8.24009462370665e-17
joint,forearmRight,8.12441542233273e-17
joint,handRight,4.50444448698202e-16
joint,shoulderLeft,2.61027517553221e-16
joint,upperArmLeft,3.36068552159948e-16
joint,forearmLeft,9.28335828212978e-17
joint,handLeft,2.14841888492486e-16
joint,upperLegRight,2.8777893560988e-16
joint,lowerLegRight,6.06169246651489e-18
joint,footRight,1.15543367288265e-17
joint,toeRight,1.85834848608231e-17
joint,upperLegLeft,1.55455335652087e-16
joint,lowerLegLeft,1.80797636756302e-16
joint,footLeft,3.60415373381272e-16
joint,toeLeft,9.09080122343928e-17
component,px,1.77635683940025e-16
component,vx,3.15244509240881e-16
component,ax,2.07084971905976e-17
component,jx,8.56331895914375e-19
component,py,4.32504273940931e-16
component,vy,7.26185416147822e-16
component,ay,4.52084022391521e-17
component,jy,1.79515006988354e-18
component,pz,4.06679520976824e-17
component,vz,5.260619649737e-17
component,az,3.54879920810356e-18
component,jz,1.36203502119982e-19

summary,max_err,6.66133814775094e-15
summary,min_err,0
summary,violations,0
summary,frames,5
summary,wall_time_s,137.258999
summary,ms_per_frame,27451.800
summary,result,PASS
