section,name,avg_abs_error
joint,pelvis,4.0656484842884e-15
joint,L5,2.7546295401937e-15
joint,L3,2.5896786913289e-15
joint,T12,2.2512216700174e-15
joint,T8,3.75972820359005e-15
joint,neck,2.90781911353385e-15
joint,head,2.84650321163375e-15
joint,shoulderRight,4.08936298994418e-15
joint,upperArmRight,3.08578855104264e-15
joint,forearmRight,3.63243553041148e-15
joint,handRight,3.46143722770402e-15
joint,shoulderLeft,3.02288811025499e-15
joint,upperArmLeft,2.78959057098173e-15
joint,forearmLeft,3.87220167677912e-15
joint,handLeft,2.49983062859613e-15
joint,upperLegRight,3.11708052309438e-15
joint,lowerLegRight,1.81047044760588e-15
joint,footRight,2.29893064265868e-15
joint,toeRight,2.36609217021423e-15
joint,upperLegLeft,2.33891325180565e-15
joint,lowerLegLeft,2.82520580484314e-15
joint,footLeft,3.63865001632791e-15
joint,toeLeft,3.24548748787916e-15
component,px,6.85442041290314e-16
component,vx,3.4342256544567e-15
component,ax,3.26258447718912e-15
component,jx,1.3679370118955e-15
component,py,1.31991036458045e-15
component,vy,8.05406635858901e-15
component,ay,9.26434870470075e-15
component,jy,4.56007703209141e-15
component,pz,1.01178123850146e-16
component,vz,8.45811911696763e-16
component,az,1.7493638821649e-15
component,jz,1.49571246083199e-15

summary,max_err,3.78030939884866e-14
summary,min_err,0
summary,violations,0
summary,frames,100
summary,result,PASS
