section,name,avg_abs_error
joint,pelvis,2.44659706990363e-16
joint,L5,1.19423965797468e-16
joint,L3,5.14453930844372e-17
joint,T12,9.2724583798202e-17
joint,T8,1.78522922717842e-17
joint,neck,2.26284513045807e-16
joint,head,8.04891364062504e-17
joint,shoulderRight,9.64686953005186e-17
joint,upperArmRight,2.03645524651363e-16
joint,forearmRight,3.48858312029798e-16
joint,handRight,1.46871447295749e-16
joint,shoulderLeft,1.45365987404162e-16
joint,upperArmLeft,5.07027145962846e-17
joint,forearmLeft,9.27824079140678e-17
joint,handLeft,8.20725233289845e-17
joint,upperLegRight,1.35974989586817e-16
joint,lowerLegRight,7.11760656200526e-17
joint,footRight,2.51302252300458e-17
joint,toeRight,1.2042600577407e-16
joint,upperLegLeft,2.51735255543094e-16
joint,lowerLegLeft,1.59463664965084e-16
joint,footLeft,8.69905095584692e-17
joint,toeLeft,4.0611954626781e-17
component,px,1.54465812121761e-16
component,vx,5.49530228085522e-17
component,ax,3.4053376061023e-18
component,jx,1.34258404891751e-19
component,py,3.08931624243522e-16
component,vy,4.25444703621303e-16
component,ay,2.56965342724043e-17
component,jy,1.0002943521801e-18
component,pz,1.17357814287822e-17
component,vz,4.88920498290089e-16
component,az,3.25364358040411e-17
component,jz,1.20484912619007e-18

summary,max_err,4.21884749357559e-15
summary,min_err,0
summary,violations,0
summary,frames,5
summary,wall_time_s,148.516816
summary,ms_per_frame,29703.363
summary,result,PASS
